gameid,url,price,currency,enabled,show_from
5620,https://www.usedgames.ca/vietnam-1965-1975.html?source=bgg,44.95,CAD,1,1
89478,https://www.usedgames.ca/imaginiff.html?source=bgg,14.95,CAD,1,1
2073,https://www.usedgames.ca/sixth-fleet-34574605.html?source=bgg,49.95,CAD,1,1
3712,https://www.usedgames.ca/tac-air.html?source=bgg,49.95,CAD,1,1
1681,https://www.usedgames.ca/tokyo-express.html?source=bgg,99.95,CAD,1,1
2407,https://www.usedgames.ca/sorry.html?source=bgg,9.95,CAD,1,1
1475,https://www.usedgames.ca/careers.html?source=bgg,19.95,CAD,1,1
32253,https://www.usedgames.ca/caveman.html?source=bgg,39.95,CAD,1,1
6676,https://www.usedgames.ca/sports-franchise.html?source=bgg,29.95,CAD,1,1
13,https://www.usedgames.ca/the-settlers-of-catan-34291480.html?source=bgg,29.95,CAD,1,1
13,https://www.usedgames.ca/the-settlers-of-catan-34291480.html?source=bgg,29.95,CAD,1,1
320,https://www.usedgames.ca/scrabble.html?source=bgg,14.95,CAD,1,1
69973,https://www.usedgames.ca/ticked-off.html?source=bgg,14.95,CAD,1,1
1295,https://www.usedgames.ca/pente.html?source=bgg,19.95,CAD,1,1
699,https://www.usedgames.ca/hero-quest.html?source=bgg,199.95,CAD,1,1
10183,https://www.usedgames.ca/napoleon-at-leipzig.html?source=bgg,59.95,CAD,1,1
6813,https://www.usedgames.ca/operation-market-garden.html?source=bgg,14.95,CAD,1,1
626,https://www.usedgames.ca/war-and-peace.html?source=bgg,24.95,CAD,1,1
5312,https://www.usedgames.ca/family-feud.html?source=bgg,19.95,CAD,1,1
93537,https://www.usedgames.ca/giza-the-great-pyramid.html?source=bgg,24.95,CAD,1,1
18179,https://www.usedgames.ca/think-twice.html?source=bgg,24.95,CAD,1,1
9356,https://www.usedgames.ca/pacific-fleet.html?source=bgg,59.95,CAD,1,1
175563,https://www.usedgames.ca/gross-abulary.html?source=bgg,19.95,CAD,1,1
2073,https://www.usedgames.ca/sixth-fleet-34574605.html?source=bgg,39.95,CAD,1,1
16701,https://www.usedgames.ca/birthday-gamesake.html?source=bgg,19.95,CAD,1,1
1923,https://www.usedgames.ca/mindtrap.html?source=bgg,9.95,CAD,1,1
1417,https://www.usedgames.ca/alibi.html?source=bgg,9.95,CAD,1,1
2879,https://www.usedgames.ca/encore.html?source=bgg,34.95,CAD,1,1
7918,https://www.usedgames.ca/eagle-eye-agency.html?source=bgg,49.95,CAD,1,1
67488,https://www.usedgames.ca/too-bad.html?source=bgg,14.95,CAD,1,1
54152,https://www.usedgames.ca/who-wants-to-be-a-millionaire.html?source=bgg,24.95,CAD,1,1
166532,https://www.usedgames.ca/cubo.html?source=bgg,4.95,CAD,1,1
2921,https://www.usedgames.ca/the-game-of-life.html?source=bgg,29.95,CAD,1,1
3762,https://www.usedgames.ca/mr-diamond.html?source=bgg,34.95,CAD,1,1
13137,https://www.usedgames.ca/kids-battle-the-grown-ups.html?source=bgg,29.95,CAD,1,1
14092,https://www.usedgames.ca/scribbage.html?source=bgg,9.95,CAD,1,1
4279,https://www.usedgames.ca/flux.html?source=bgg,34.95,CAD,1,1
4061,https://www.usedgames.ca/tiles.html?source=bgg,14.95,CAD,1,1
9027,https://www.usedgames.ca/oasis.html?source=bgg,24.95,CAD,1,1
37738,https://www.usedgames.ca/master-builder.html?source=bgg,49.95,CAD,1,1
1148,https://www.usedgames.ca/eagle-kingdoms.html?source=bgg,14.95,CAD,1,1
4922,https://www.usedgames.ca/clever-endeavor.html?source=bgg,19.95,CAD,1,1
21464,https://www.usedgames.ca/california.html?source=bgg,14.95,CAD,1,1
10289,https://www.usedgames.ca/split-level-aggravation.html?source=bgg,19.95,CAD,1,1
4496,https://www.usedgames.ca/horse-sense.html?source=bgg,34.95,CAD,1,1
9815,https://www.usedgames.ca/goosebumps-a-night-in-terror-tower-game.html?source=bgg,19.95,CAD,1,1
1996,https://www.usedgames.ca/face-off.html?source=bgg,49.95,CAD,1,1
2887,https://www.usedgames.ca/the-yeti-slalom.html?source=bgg,9.95,CAD,1,1
3591,https://www.usedgames.ca/cribb-derby.html?source=bgg,49.95,CAD,1,1
2379,https://www.usedgames.ca/guesstures-35503822.html?source=bgg,14.95,CAD,1,1
80836,https://www.usedgames.ca/the-target.html?source=bgg,9.95,CAD,1,1
16373,https://www.usedgames.ca/techno-witches.html?source=bgg,4.95,CAD,1,1
93541,https://www.usedgames.ca/urbania.html?source=bgg,19.95,CAD,1,1
6824,https://www.usedgames.ca/gold-und-rum-used.html?source=bgg,14.95,CAD,1,1
20031,https://www.usedgames.ca/ahoy.html?source=bgg,14.95,CAD,1,1
6824,https://www.usedgames.ca/gold-und-rum-used.html?source=bgg,0.00,CAD,1,1
69356,https://www.usedgames.ca/kalua.html?source=bgg,14.95,CAD,1,1
7957,https://www.usedgames.ca/franchisit.html?source=bgg,24.95,CAD,1,1
32666,https://www.usedgames.ca/wealth-of-nations.html?source=bgg,149.95,CAD,1,1
38453,https://www.usedgames.ca/space-alert.html?source=bgg,34.95,CAD,1,1
8933,https://www.usedgames.ca/happiness.html?source=bgg,24.95,CAD,1,1
986,https://www.usedgames.ca/babel.html?source=bgg,49.95,CAD,1,1
104377,https://www.usedgames.ca/tschak-nib.html?source=bgg,24.95,CAD,1,1
139,https://www.usedgames.ca/hoax-1981.html?source=bgg,49.95,CAD,1,1
3549,https://www.usedgames.ca/superpower-1986.html?source=bgg,24.95,CAD,1,1
3692,https://www.usedgames.ca/firepower-1984.html?source=bgg,39.95,CAD,1,1
