"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000001706","","","","","Templars' Journey (2017) NIS","1","$0.01","$0.01","$29.95","99.97%"
"210000001707","","","","","Marrakech (2010)","1","$0.01","$0.01","$29.95","99.97%"
"210000001708","","","","","The Settlers of Catan: 5-6 Player Expansion ‐ English First Edition (1999) - NIS","8","$0.08","$0.01","$89.95","99.99%"
"210000001709","","","","","Catan: Seafarers: 5-6 Player Extension ‐ English Second Edition (2007) - NIS","17","$0.17","$0.01","$49.95","99.98%"
"210000001710","","","","","Catan: Cities & Knights: 5-6 Player Extension ‐ English Second Edition Relaunch (2014) - NIS","17","$0.17","$0.01","$29.95","99.97%"
"210000001711","","","","","Catan: Cities & Knights ‐ English Second Edition Relaunch (2012) - NIS","15","$0.15","$0.01","$59.95","99.98%"
"210000001712","","","","","Catan: Explorers & Pirates ‐ English First Edition (2013) - NIS","14","$0.14","$0.01","$49.95","99.98%"
"210000001713","","","","","Catan: Traders & Barbarians ‐ English First Edition, Second Printing (2012) - NIS","2","$0.02","$0.01","$49.95","99.98%"
"210000001714","","","","","Catan: Traders & Barbarians: 5-6 Player Extension ‐ English First Edition (2008) - NIS","12","$0.12","$0.01","$24.95","99.96%"
"210000001715","","","","","The Seafarers of Catan: 5-6 Player Expansion ‐ English First Edition (1999) - NIS","1","$0.01","$0.01","$69.95","99.99%"
"210000001717","","","","","Nobody is Perfect (1992)","1","$0.01","$0.01","$19.95","99.95%"
"210000001718","","","","","Costume Party (2015) NIS","1","$0.01","$0.01","$29.95","99.97%"
"210000001719","","","","","JAB: Realtime Boxing (2011)","1","$0.01","$0.01","$14.95","99.93%"
"210000001720","","","","","Beasty Bar (2014) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001721","","","","","Odd World Used Board Game (2015)","1","$0.01","$0.01","$9.95","99.9%"
"210000001722","","","","","Stellar Conquest (1975)","1","$0.01","$0.01","$49.95","99.98%"
"210000001723","","","","","Urbania (2012)","1","$0.01","$0.01","$24.95","99.96%"
"210000001724","","","","","Herocard Galaxy (2006)","1","$0.01","$0.01","$14.95","99.93%"
"210000001726","","","","","Ramses Pyramid (2009) NIS","1","$0.01","$0.01","$24.95","99.96%"
"210000001727","","","","","On Assignment with National Geographic (1990)","1","$0.01","$0.01","$29.95","99.97%"
"210000001728","","","","","Break the Bank (1977)","1","$0.01","$0.01","$44.95","99.98%"
"210000001729","","","","","Imperium: 3rd Millennium (2001)","1","$0.01","$0.01","$64.95","99.98%"
"210000001730","","","","","Harry Potter Hogwarts (2010)","1","$0.01","$0.01","$29.95","99.97%"
"210000001731","","","","","Cairo (2002)","1","$0.01","$0.01","$24.95","99.96%"
"210000001733","","","","","Dexterity (1985)","1","$0.01","$0.01","$49.95","99.98%"
